foundation_school,2026_places,2026_final_ratio,2025_places,2025_final_ratio,2024_places,2024_final_ratio
East of England,921,0.69,921,0.69,898,0.6
KSS,703,0.84,703,0.84,696,0.95
LNR,330,0.74,330,0.74,317,0.68
London,1216,2.31,1216,2.31,1238,2.07
North West of England,1081,1.16,1081,1.16,1062,1.42
Northern,568,0.74,568,0.74,520,0.94
Northern Ireland,387,0.78,387,0.78,412,0.84
Peninsula,319,0.87,319,0.87,313,0.86
Scotland,1237,1.09,1237,1.09,1109,1.01
Severn,421,1.33,421,1.33,405,1.24
Thames Valley Oxford,342,1.3,342,1.3,364,1.69
Trent,474,0.51,474,0.51,505,0.43
Wales,460,0.65,460,0.65,463,0.64
Wessex,437,0.58,437,0.58,417,0.58
West Midlands Central,286,1.51,286,1.51,297,1.16
West Midlands North,436,0.39,436,0.39,446,0.35
West Midlands South,294,0.5,294,0.5,294,0.52
Yorkshire and Humber,898,0.76,898,0.76,878,0.84
