foundation_school,2026_places,2026_final_ratio,2025_places,2025_final_ratio,2024_places,2024_final_ratio
East of England,921,0.69,921,0.6,898,0.44
KSS,703,0.84,703,0.95,696,0.62
LNR,330,0.74,330,0.68,317,0.51
London,1216,2.31,1216,2.07,1238,2.89
North West of England,1081,1.16,1081,1.42,1062,1.39
Northern,568,0.74,568,0.94,520,0.8
Northern Ireland,387,0.78,387,0.84,412,0.65
Peninsula,319,0.87,319,0.86,313,0.64
Scotland,1237,1.09,1237,1.01,1109,1.0
Severn,421,1.33,421,1.24,405,1.71
Thames Valley Oxford,342,1.3,342,1.69,364,1.45
Trent,474,0.51,474,0.43,505,0.47
Wales,460,0.65,460,0.64,463,0.56
Wessex,437,0.58,437,0.58,417,0.49
West Midlands Central,286,1.51,286,1.16,297,1.47
West Midlands North,436,0.39,436,0.35,446,0.37
West Midlands South,294,0.5,294,0.52,294,0.44
Yorkshire and Humber,898,0.76,898,0.84,878,0.6
